"Country.Name","Country.Code","Region","IncomeGroup"
"Angola","AGO","Sub-Saharan Africa","Lower middle income"
"Benin","BEN","Sub-Saharan Africa","Lower middle income"
"Bolivia","BOL","Latin America & Caribbean","Lower middle income"
"Burkina Faso","BFA","Sub-Saharan Africa","Low income"
"Burundi","BDI","Sub-Saharan Africa","Low income"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income"
"Central African Republic","CAF","Sub-Saharan Africa","Low income"
"Chad","TCD","Sub-Saharan Africa","Low income"
"Cote d'Ivoire","CIV","Sub-Saharan Africa","Lower middle income"
"Djibouti","DJI","Middle East & North Africa","Lower middle income"
"Eswatini","SWZ","Sub-Saharan Africa","Lower middle income"
"Guinea","GIN","Sub-Saharan Africa","Lower middle income"
"Honduras","HND","Latin America & Caribbean","Lower middle income"
"India","IND","South Asia","Lower middle income"
"Kenya","KEN","Sub-Saharan Africa","Lower middle income"
"Lao PDR","LAO","East Asia & Pacific","Lower middle income"
"Mauritania","MRT","Sub-Saharan Africa","Lower middle income"
"Nicaragua","NIC","Latin America & Caribbean","Lower middle income"
"Niger","NER","Sub-Saharan Africa","Low income"
"Philippines","PHL","East Asia & Pacific","Lower middle income"
"Rwanda","RWA","Sub-Saharan Africa","Low income"
"Senegal","SEN","Sub-Saharan Africa","Lower middle income"
"Sierra Leone","SLE","Sub-Saharan Africa","Low income"
"Sri Lanka","LKA","South Asia","Lower middle income"
"Sudan","SDN","Sub-Saharan Africa","Low income"
"Tanzania","TZA","Sub-Saharan Africa","Lower middle income"
"Togo","TGO","Sub-Saharan Africa","Low income"
"Venezuela, RB","VEN","Latin America & Caribbean",""
"Zambia","ZMB","Sub-Saharan Africa","Lower middle income"
"Zimbabwe","ZWE","Sub-Saharan Africa","Lower middle income"
